App,Rssi,Device,Hive_Position,Record_Type,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,w1,w3,w2,w4,Radar,Audio
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584514,5709,false,97,94.06,,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584515,5710,false,97,94.04,,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 2:21 AM,08/20/2023 8:21 PM,1692584517,5701,false,98,94.08,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584540,776,false,100,73.41,,55.08,1,55.08,9.98,12.10,23.85,9.15,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584545,779,false,100,73.43,,55.08,1,55.08,9.98,12.10,23.85,9.15,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584547,780,false,100,73.41,,55.06,1,55.06,9.97,12.10,23.84,9.15,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584555,782,false,100,73.45,,55.09,1,55.09,9.98,12.10,23.85,9.16,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584560,785,false,100,73.45,,55.09,1,55.09,9.98,12.10,23.85,9.16,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 AM,08/20/2023 8:22 PM,1692584561,786,false,100,73.41,,55.07,1,55.07,9.97,12.10,23.84,9.16,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 3:21 AM,08/20/2023 9:21 PM,1692588088,1634,false,24,87.08,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 3:21 AM,08/20/2023 9:21 PM,1692588114,5711,false,98,93.90,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 3:22 AM,08/20/2023 9:22 PM,1692588163,787,false,100,70.97,,54.93,1,54.93,10.03,11.86,23.59,9.45,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 4:21 AM,08/20/2023 10:21 PM,1692591688,1635,false,23,86.18,71,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 4:21 AM,08/20/2023 10:21 PM,1692591714,5712,false,98,93.48,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 4:22 AM,08/20/2023 10:22 PM,1692591763,788,false,100,70.01,,54.84,1,54.84,10.07,11.71,23.44,9.62,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 5:21 AM,08/20/2023 11:21 PM,1692595288,1636,false,23,85.73,71,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 5:21 AM,08/20/2023 11:21 PM,1692595314,5713,false,98,93.45,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 5:22 AM,08/20/2023 11:22 PM,1692595363,789,false,100,68.73,,54.60,1,54.60,10.10,11.52,23.19,9.79,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 6:21 AM,08/21/2023 12:21 AM,1692598888,1637,false,23,85.33,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 6:21 AM,08/21/2023 12:21 AM,1692598914,5714,false,97,93.18,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 6:22 AM,08/21/2023 12:22 AM,1692598963,790,false,100,69.13,,54.45,1,54.45,10.12,11.44,22.96,9.93,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 7:21 AM,08/21/2023 1:21 AM,1692602488,1638,false,22,84.41,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 7:21 AM,08/21/2023 1:21 AM,1692602514,5715,false,97,93.00,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 7:22 AM,08/21/2023 1:22 AM,1692602563,791,false,100,68.73,,54.48,1,54.48,10.13,11.38,22.99,9.98,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 8:21 AM,08/21/2023 2:21 AM,1692606088,1639,false,21,83.13,73,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 8:21 AM,08/21/2023 2:21 AM,1692606114,5716,false,98,92.87,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 8:22 AM,08/21/2023 2:22 AM,1692606163,792,false,100,67.33,,53.20,1,53.20,9.37,11.21,22.56,10.06,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 9:21 AM,08/21/2023 3:21 AM,1692609688,1640,false,21,82.70,73,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 9:21 AM,08/21/2023 3:21 AM,1692609714,5717,false,97,92.87,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 9:22 AM,08/21/2023 3:22 AM,1692609763,793,false,100,67.29,,53.09,1,53.09,9.41,11.18,22.12,10.38,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 10:21 AM,08/21/2023 4:21 AM,1692613288,1641,false,21,82.32,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 10:21 AM,08/21/2023 4:21 AM,1692613314,5718,false,98,92.51,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 10:22 AM,08/21/2023 4:22 AM,1692613363,794,false,100,67.35,,53.10,1,53.10,9.53,11.19,21.74,10.64,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 11:21 AM,08/21/2023 5:21 AM,1692616888,1642,false,21,82.16,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 11:21 AM,08/21/2023 5:21 AM,1692616914,5719,false,97,92.21,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 11:22 AM,08/21/2023 5:22 AM,1692616963,795,false,100,66.43,,53.23,1,53.23,9.67,11.24,21.49,10.83,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 12:21 PM,08/21/2023 6:21 AM,1692620488,1643,false,21,82.04,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 12:21 PM,08/21/2023 6:21 AM,1692620514,5720,false,97,92.39,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 12:22 PM,08/21/2023 6:22 AM,1692620563,796,false,100,64.88,,53.23,1,53.23,9.80,11.19,21.16,11.08,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 1:21 PM,08/21/2023 7:21 AM,1692624088,1644,false,20,81.50,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 1:21 PM,08/21/2023 7:21 AM,1692624114,5721,false,97,91.76,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 1:22 PM,08/21/2023 7:22 AM,1692624163,797,false,100,65.35,,53.36,1,53.36,9.93,11.21,20.90,11.32,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 2:21 PM,08/21/2023 8:21 AM,1692627688,1645,false,21,82.74,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 2:21 PM,08/21/2023 8:21 AM,1692627714,5722,false,97,92.35,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 2:22 PM,08/21/2023 8:22 AM,1692627763,798,false,100,73.88,,53.67,1,53.67,10.26,11.34,20.68,11.39,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 3:21 PM,08/21/2023 9:21 AM,1692631288,1646,false,23,86.00,74,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 3:21 PM,08/21/2023 9:21 AM,1692631314,5723,false,98,92.94,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 3:22 PM,08/21/2023 9:22 AM,1692631363,799,false,100,87.53,,54.62,1,54.62,10.21,12.05,21.27,11.09,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 4:21 PM,08/21/2023 10:21 AM,1692634888,1647,false,25,88.52,72,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 4:21 PM,08/21/2023 10:21 AM,1692634914,5724,false,98,93.75,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 4:22 PM,08/21/2023 10:22 AM,1692634963,800,false,100,91.72,,55.13,1,55.13,9.49,12.97,22.29,10.38,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 5:21 PM,08/21/2023 11:21 AM,1692638488,1648,false,25,88.64,71,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 5:21 PM,08/21/2023 11:21 AM,1692638514,5725,false,97,94.01,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 5:22 PM,08/21/2023 11:22 AM,1692638563,801,false,100,86.00,,55.75,1,55.75,9.85,13.09,22.74,10.07,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 6:21 PM,08/21/2023 12:21 PM,1692642088,1649,false,27,91.61,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 6:21 PM,08/21/2023 12:21 PM,1692642114,5726,false,98,94.47,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 6:22 PM,08/21/2023 12:22 PM,1692642163,802,false,100,93.11,,56.41,1,56.41,10.09,13.37,22.97,9.98,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 7:21 PM,08/21/2023 1:21 PM,1692645688,1650,false,27,91.38,69,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 7:21 PM,08/21/2023 1:21 PM,1692645714,5727,false,98,95.14,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 7:22 PM,08/21/2023 1:22 PM,1692645763,803,false,100,91.27,,57.31,1,57.31,10.64,13.47,23.57,9.63,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 8:21 PM,08/21/2023 2:21 PM,1692649288,1651,false,25,89.43,60,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 8:21 PM,08/21/2023 2:21 PM,1692649314,5728,false,98,95.32,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 8:22 PM,08/21/2023 2:22 PM,1692649363,804,false,100,87.08,,57.36,1,57.36,10.85,13.54,23.59,9.38,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 9:21 PM,08/21/2023 3:21 PM,1692652888,1652,false,24,87.54,60,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 9:21 PM,08/21/2023 3:21 PM,1692652914,5729,false,98,95.05,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 9:22 PM,08/21/2023 3:22 PM,1692652963,805,false,100,83.42,,57.14,1,57.14,10.76,13.40,23.76,9.22,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 10:01 PM,08/21/2023 4:01 PM,1692655270,5734,false,97,94.69,,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 10:01 PM,08/21/2023 4:01 PM,1692655319,1657,false,14,87.26,58,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 10:04 PM,08/21/2023 4:04 PM,1692655449,1679,false,33,87.36,58,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 10:04 PM,08/21/2023 4:04 PM,1692655472,5756,false,97,94.65,,,,,,,,,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 10:21 PM,08/21/2023 4:21 PM,1692656488,1653,false,23,86.14,57,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 10:21 PM,08/21/2023 4:21 PM,1692656514,5730,false,98,94.65,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 10:22 PM,08/21/2023 4:22 PM,1692656563,806,false,100,79.97,,56.81,1,56.81,10.79,13.27,23.69,9.06,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658867,808,false,100,79.68,,56.74,1,56.74,10.85,13.17,23.66,9.06,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658870,5737,false,97,94.71,,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658871,5742,false,97,94.71,,,,,,,,,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658872,5743,false,97,94.71,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658873,811,false,100,79.68,,56.77,1,56.77,10.87,13.15,23.71,9.04,,
BAPP,0,47:20:22,Lower Brood,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658874,5734,false,97,94.69,,,,,,,,,,
BAPP,0,49:02:8D,Scale Under Hive,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658875,812,false,100,79.66,,56.78,1,56.78,10.86,13.17,23.69,9.06,,
BAPP,0,56:0B:D0,Upper Brood,Logged_Data,08/21/2023 11:01 PM,08/21/2023 5:01 PM,1692658919,1660,false,26,87.22,58,,,,,,,,,
